id,sku,name,description,features,categoryId,createdAt,updatedAt
p0001,MS-RUN-001,AeroStride Elite,Premium men's running shoes designed for maximum comfort and performance on any terrain.,"Responsive cushioning,Breathable mesh upper,Durable rubber outsole,Reflective details for visibility",c111,2024-10-02T08:00:00Z,2024-10-02T08:00:00Z
p0002,MS-RUN-002,SpeedForce Runner,Lightweight men's running shoes engineered for speed and agility.,"Ultra-lightweight design,Energy-returning midsole,Aerodynamic profile,Enhanced heel support",c111,2024-10-02T08:10:00Z,2024-10-02T08:10:00Z
p0003,MS-RUN-003,TrailBlazer Pro,Rugged men's trail running shoes with enhanced grip and durability for off-road adventures.,"All-terrain outsole,Water-resistant upper,Rock protection plate,Reinforced toe cap",c111,2024-10-02T08:20:00Z,2024-10-02T08:20:00Z
p0004,MS-RUN-004,Marathon Master,Long-distance men's running shoes designed for endurance and comfort mile after mile.,"Extra cushioned midsole,Stability support system,Ventilated mesh construction,Anti-fatigue technology",c111,2024-10-02T08:30:00Z,2024-10-02T08:30:00Z
p0005,MS-RUN-005,Velocity Boost,Responsive men's running shoes with energy-returning technology for explosive performance.,"Carbon fiber plate,High-rebound foam,Streamlined silhouette,Secure lockdown fit",c111,2024-10-02T08:40:00Z,2024-10-02T08:40:00Z
p0006,MS-BSK-001,HoopMaster Elite,Professional men's basketball shoes with superior ankle support and court grip.,"High-top ankle collar,Multi-directional traction pattern,Impact protection system,Responsive cushioning",c112,2024-10-02T09:00:00Z,2024-10-02T09:00:00Z
p0007,MS-BSK-002,JumpForce Pro,Men's basketball shoes designed for explosive vertical performance and stable landings.,"Zoom air unit,Reinforced heel counter,Midfoot strap system,Anti-slip outsole",c112,2024-10-02T09:10:00Z,2024-10-02T09:10:00Z
p0008,MS-BSK-003,CourtDominator,Versatile men's basketball shoes for all positions with balanced support and agility.,"Adaptive fit system,Court-specific cushioning,Breathable panels,Enhanced durability zones",c112,2024-10-02T09:20:00Z,2024-10-02T09:20:00Z
p0009,MS-BSK-004,Slam Series High,Men's basketball shoes built for power players who demand durability and impact protection.,"Robust outsole,Extra cushioning,Supportive overlay structure,Padded collar and tongue",c112,2024-10-02T09:30:00Z,2024-10-02T09:30:00Z
p0010,MS-CAS-001,Urban Walker,Stylish men's casual shoes perfect for everyday wear with contemporary design.,"Memory foam insole,Flexible construction,Classic silhouette,Versatile colorways",c113,2024-10-02T10:00:00Z,2024-10-02T10:00:00Z
p0011,MS-CAS-002,DayGlider Comfort,Ultra-comfortable men's slip-on shoes for effortless daily wear.,"No-tie elastic laces,Cushioned footbed,Lightweight outsole,Breathable lining",c113,2024-10-02T10:10:00Z,2024-10-02T10:10:00Z
p0012,MS-CAS-003,StreetStyle Canvas,Classic men's canvas shoes with timeless appeal and modern comfort technology.,"Canvas upper,Vulcanized rubber sole,OrthoLite insole,Reinforced stitching",c113,2024-10-02T10:20:00Z,2024-10-02T10:20:00Z
p0013,MS-TRN-001,CrossTrainer Max,Versatile men's training shoes designed for multi-directional movement and gym performance.,"Wide stable base,Flexible forefoot,Heel stability clip,Breathable construction",c114,2024-10-02T11:00:00Z,2024-10-02T11:00:00Z
p0014,MS-TRN-002,PowerLift Pro,Men's weightlifting shoes with incomparable stability and power transfer.,"Rigid platform,Elevated heel,Midfoot strap,Anti-compression midsole",c114,2024-10-02T11:10:00Z,2024-10-02T11:10:00Z
p0015,MS-TRN-003,AgileForce Trainer,Lightweight men's cross-training shoes optimized for high-intensity interval training.,"Multi-surface traction,Minimalist design,Responsive cushioning,Adaptive fit system",c114,2024-10-02T11:20:00Z,2024-10-02T11:20:00Z
